Scenario,Weights_cost,Weights_markets,Weights_weather,Winner,2nd,3rd
1,1.0,0.0,0.0,Prague,Warsaw,Porto
2,0.5,0.0,0.5,Prague,Porto,Valencia
3,0.333,0.0,0.667,Valencia,Porto,Prague
4,0.5,0.5,0.0,Prague,Warsaw,Vienna
5,0.333,0.333,0.333,Prague,Warsaw,Vienna
6,0.25,0.25,0.5,Prague,Porto,Valencia
7,0.333,0.667,0.0,Prague,Vienna,Warsaw
8,0.25,0.5,0.25,Prague,Vienna,Warsaw
9,0.2,0.4,0.4,Prague,Vienna,Porto
10,0.25,0.75,0.0,Prague,Vienna,Warsaw
11,0.2,0.6,0.2,Prague,Vienna,Warsaw
12,0.167,0.5,0.333,Prague,Vienna,Warsaw
13,1.0,0.0,0.0,Prague,Warsaw,Porto
14,0.667,0.0,0.333,Prague,Warsaw,Porto
15,0.5,0.0,0.5,Prague,Porto,Valencia
16,0.667,0.333,0.0,Prague,Warsaw,Porto
17,0.5,0.25,0.25,Prague,Warsaw,Porto
18,0.4,0.2,0.4,Prague,Porto,Warsaw
19,0.5,0.5,0.0,Prague,Warsaw,Vienna
20,0.4,0.4,0.2,Prague,Warsaw,Vienna
21,0.333,0.333,0.333,Prague,Warsaw,Vienna
22,0.4,0.6,0.0,Prague,Vienna,Warsaw
23,0.333,0.5,0.167,Prague,Vienna,Warsaw
24,0.286,0.429,0.286,Prague,Vienna,Warsaw
25,1.0,0.0,0.0,Prague,Warsaw,Porto
26,0.75,0.0,0.25,Prague,Warsaw,Porto
27,0.6,0.0,0.4,Prague,Porto,Warsaw
28,0.75,0.25,0.0,Prague,Warsaw,Porto
29,0.6,0.2,0.2,Prague,Warsaw,Porto
30,0.5,0.167,0.333,Prague,Warsaw,Porto
31,0.6,0.4,0.0,Prague,Warsaw,Vienna
32,0.5,0.333,0.167,Prague,Warsaw,Porto
33,0.429,0.286,0.286,Prague,Warsaw,Porto
34,0.5,0.5,0.0,Prague,Warsaw,Vienna
35,0.429,0.429,0.143,Prague,Warsaw,Vienna
36,0.375,0.375,0.25,Prague,Warsaw,Vienna
37,1.0,0.0,0.0,Prague,Warsaw,Porto
38,0.8,0.0,0.2,Prague,Warsaw,Porto
39,0.667,0.0,0.333,Prague,Warsaw,Porto
40,0.8,0.2,0.0,Prague,Warsaw,Porto
41,0.667,0.167,0.167,Prague,Warsaw,Porto
42,0.571,0.143,0.286,Prague,Warsaw,Porto
43,0.667,0.333,0.0,Prague,Warsaw,Porto
44,0.571,0.286,0.143,Prague,Warsaw,Porto
45,0.5,0.25,0.25,Prague,Warsaw,Porto
46,0.571,0.429,0.0,Prague,Warsaw,Vienna
47,0.5,0.375,0.125,Prague,Warsaw,Vienna
48,0.444,0.333,0.222,Prague,Warsaw,Porto
